id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,J. Cole,0.482,0.829,0.527,0.475,0.0,0.367,116.079,-6.644,0,6,200310,4
7eqoqGkKwgOaWNNHx90uEZ,Nights,Frank Ocean,0.427,0.457,0.551,0.428,1.15e-06,0.167,89.87,-9.36,0,5,307151,4
6PGBv4XMbrDKvGEr7z51bD,Paradise a Burn,Ocean Alley,0.0362,0.473,0.709,0.527,0.0,0.0461,130.911,-4.073,0,0,148606,4
32Qerv3fdQZGsoWhpqVRnT,"Sugaree - Live in Veneta, Oregon 8/27/72",Grateful Dead,0.833,0.541,0.409,0.62,0.0484,0.0369,113.518,-10.844,1,4,449973,4
32xx0fAv3CIeGmNaWTHvEF,Heebiejeebies - Bonus,Aminé,0.423,0.765,0.5,0.495,0.0,0.152,107.043,-7.626,1,1,220160,4
4hbadZZrbM08KZIQZomWaI,Not An Angel,Tems,0.0106,0.628,0.652,0.552,0.00157,0.0543,104.075,-6.065,0,4,185639,4
1Eolhana7nKHYpcYpdVcT5,Little Wing,Jimi Hendrix,0.181,0.515,0.534,0.426,0.00278,0.0768,70.776,-8.045,1,6,145747,4
4KTtYhxFtFL7mBwnjkKfLm,Glamorous,Fergie,0.291,0.81,0.755,0.625,0.0,0.199,130.991,-6.408,1,0,246573,4
3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA,0.118,0.607,0.767,0.662,0.0,0.0474,123.998,-6.069,0,5,148629,3
66AMCAjrOk7c957i3ej06f,Po Pimp,Do Or Die,0.0623,0.81,0.428,0.649,0.0,0.272,142.075,-14.248,1,0,234827,4
3ezkJgagRPZ39KCTrKcSI7,Ghosts 'n' Stuff (feat. Rob Swire),deadmau5,4.73e-05,0.611,0.613,0.491,0.105,0.129,127.979,-6.942,1,8,328747,4
2AA9ETHzpTOrLsTqtHe1dU,SHALLOW GRAVES,Vicious Vampira,0.0591,0.798,0.541,0.274,9.2e-06,0.207,155.99,-9.316,1,1,209692,4
4G1qRhOk1YY0kewtMaCrMC,Rain,SWV,0.337,0.643,0.486,0.146,3.86e-06,0.0278,138.151,-10.443,0,4,264507,3
43Dpos2WC4IdSKSPUgE2ZU,Live For The Moment,Darwin's Waiting Room,0.00276,0.584,0.953,0.634,1.61e-05,0.116,103.476,-5.078,0,6,200200,4
3tsFWhe45D6CGFSMA77T3B,Trouble On Central,Buddy,0.233,0.812,0.448,0.576,0.000272,0.0666,99.958,-6.621,0,1,187427,4
0s10gk6qEQgdiWwP2c0xy7,Mary's Joint,Mary J. Blige,0.103,0.577,0.581,0.573,2.56e-05,0.038,82.548,-9.976,0,10,302467,4
2fRoKHW3lzNUKIUTade8nL,745,Vince Staples,0.115,0.785,0.476,0.22,0.0017,0.113,118.94,-9.805,1,1,227560,4
0B3fS5gESoXgLxfKDB0y4f,Mandibles,E-Town Concrete,0.0211,0.569,0.881,0.829,0.0,0.137,142.863,-4.741,0,6,185400,4
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,0.0546,0.598,0.427,0.0605,5.83e-06,0.0317,76.469,-8.764,0,7,175721,4
4kUZvXB3LC3an3HX6h0s17,Cudi Montage,KIDS SEE GHOSTS,0.401,0.729,0.504,0.305,1.44e-06,0.0321,110.011,-6.784,0,8,197001,4
7qU7vhCPKhkDiJYGoboISc,Apocalypse Dreams,Tame Impala,0.249,0.496,0.929,0.267,0.131,0.0503,127.998,-2.279,1,8,356947,4
58wz6SXvLA7JjKtX5Ydq06,Cross My Mind,Jill Scott,0.0312,0.878,0.242,0.43,0.00163,0.281,146.077,-9.438,0,5,284800,4
4kIRyUnl8elQFStSL8866M,Shade,IAMDDB,0.386,0.799,0.679,0.408,0.0,0.0364,122.011,-3.476,0,0,175097,4
2Qxn4coed4Rrk98dyHtgds,The Green Superintendent,Mako Road,0.557,0.703,0.745,0.786,0.0,0.0619,152.006,-5.498,0,6,183073,4
5C33XaYYMuEKvGmABGHwOa,Bleach,$uicideboy$,0.224,0.809,0.816,0.399,0.00102,0.419,131.976,-5.359,0,0,160241,4
09riz9pAPJyYYDVynE5xxY,1000 Blunts,$uicideboy$,0.224,0.83,0.698,0.595,1.02e-06,0.077,132.99,-6.517,0,5,175476,4
0aMHIW1lqrulVCx0LLlr6a,Cocoa Butter Kisses,Chance the Rapper,0.0518,0.679,0.645,0.203,0.0,0.222,125.795,-7.777,0,6,307188,4
0gf2y5doKjsYaZJJZif4vz,SOHO,Jaden,0.342,0.547,0.596,0.368,0.335,0.192,159.985,-7.744,0,8,208493,4
4uOKFydzAejjSFqYbv1XPt,Red Red Wine,UB40,0.00414,0.857,0.468,0.843,1.32e-05,0.0476,89.119,-8.53,1,1,183733,4
5NETBxiI2OYTSu1P47Hr96,Breaking Doors,Saving Jackie,0.00313,0.579,0.96,0.499,0.00496,0.0966,91.503,-3.496,1,7,248243,4
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,0.00353,0.488,0.87,0.211,0.0,0.0421,110.072,-4.185,0,6,187520,4
4dwrL3Z5U2RZ6MZiKE2PgL,Superstition,Stevie Wonder,0.0182,0.648,0.751,0.863,0.000401,0.0806,100.437,-8.582,1,8,244827,4
5IhCGnAYfeGlsfAXbqKlI1,Fuck Y'all Hoes (feat. $uicideboy$),Germ,0.0178,0.839,0.708,0.199,0.0,0.201,123.019,-5.193,1,0,140565,4
60Pjyla2BNnWzWxNXxGa4u,Sumthin' Sumthin' - Remastered 2021,Maxwell,0.445,0.796,0.537,0.857,0.0725,0.0751,97.886,-9.383,0,10,257670,4
6ooluO7DiEhI1zmK94nRCM,Take Me Out,Franz Ferdinand,0.000423,0.278,0.676,0.494,0.000899,0.0371,104.545,-8.821,1,9,237027,4
7fRPY74Uk27yrTj1oYUFAj,Woo,Erykah Badu,0.246,0.752,0.607,0.747,0.00432,0.158,86.978,-7.997,0,10,194160,4
4lOW5PGAiBlc3F9YJCDzP3,waves,Kenichiro Nishihara,0.549,0.8,0.747,0.801,0.065,0.097,97.998,-7.523,0,10,259520,4
1KUdAOiViMZeSQKYCkGeUv,Bungee Gum,HAARPER,0.0179,0.723,0.825,0.123,0.00838,0.0858,146.966,-3.529,1,8,106634,4
4IAd7Vdwcc1E86P15tXjca,Only When It Rains,Frank Walker,0.219,0.792,0.724,0.429,0.0,0.0362,109.984,-5.108,0,11,169000,4
45DElIx0dXqUH4A88yQFdE,Go With The Flow,Queens of the Stone Age,0.0148,0.242,0.992,0.374,0.113,0.0988,159.37,-3.9,0,4,187120,4
0rKR7VLBxqVQAz2UEe3D8N,Think Different (feat. Substantial),Nujabes,0.547,0.698,0.797,0.745,0.00207,0.122,95.212,-5.672,1,6,197293,4
0FdTBwYr1aNF1smfqaoCde,Smoke Two Joints,Sublime,0.00173,0.74,0.56,0.316,0.0181,0.129,95.162,-9.623,1,2,173360,4
1gk3FhAV07q9Jg77UxnVjX,Gooey,Glass Animals,0.736,0.487,0.369,0.106,3.75e-05,0.0406,183.114,-13.424,0,11,289307,4
6G8ybvaNEW2nn1wMzvKjRc,Fabrics,Felly,0.393,0.807,0.493,0.262,0.0,0.139,75.589,-7.087,0,10,214974,4
2yx7XX9v7M6yhm2fBG7K3E,Ain't That Easy,D'Angelo,0.137,0.545,0.644,0.614,0.000402,0.415,176.176,-8.111,1,6,289347,4
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,0.00721,0.331,0.943,0.296,2.06e-06,0.0698,94.612,-3.188,0,4,235893,4
31p4RCe57EtS0ItQUcaKOy,Can't Let Go,Anthony Hamilton,0.59,0.667,0.504,0.409,0.0,0.067,128.064,-6.876,1,10,232533,4
1OWGLpptXlHLw1yibeHiHa,SHINE,Aminé,0.315,0.704,0.517,0.443,5.87e-06,0.313,139.855,-7.999,0,5,150000,4
7kxM3UJwN6rHAW5kwdlAHK,Forgotten,Linkin Park,0.0132,0.615,0.947,0.498,0.0,0.11,108.193,-3.817,0,8,194427,4
5hTpBe8h35rJ67eAWHQsJx,Caroline,Aminé,0.17,0.94,0.335,0.707,0.0,0.505,120.04,-10.179,0,5,209640,4
5ZcApNg82s5RIpA9l9IuPB,Fool's Love,Muzi,0.0699,0.686,0.595,0.64,0.000128,0.0716,106.012,-8.755,0,6,201398,4
1Q0lOGB52skgfzdcq233vs,Nothing Even Matters (feat. D'Angelo),Ms. Lauryn Hill,0.701,0.539,0.363,0.549,3.18e-06,0.166,136.422,-13.888,0,10,350533,4
6ZrEsTv8IYRg0U0hUoo2j1,Footsteps in the Dark Pts. 1 & 2,SiR,0.144,0.728,0.543,0.718,0.00121,0.088,161.975,-7.64,0,6,317992,4
6o4oixpfaPYyH1StB6Ke7w,What Am I Supposed to Do? (feat. Suhn),Kero One,0.327,0.787,0.735,0.831,2.75e-06,0.132,96.996,-4.779,0,4,211027,4
5IyoulMVgZsyNVjWzPHxcZ,Here To Fall (rjd2 Remix),Yo La Tengo,0.0216,0.635,0.518,0.673,0.00108,0.0863,155.067,-9.378,0,3,333000,4
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,MC Hammer,0.00449,0.867,0.517,0.862,0.000343,0.088,133.149,-13.22,0,11,257360,4
2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,Electric Light Orchestra,0.652,0.388,0.338,0.478,3.73e-06,0.0329,177.765,-10.054,1,10,303373,4
3uq6qe8ouF012GLOcLyWcH,I Found My Smile Again (Radio Edit),D'Angelo,0.356,0.765,0.55,0.688,9.46e-05,0.08,94.959,-7.942,1,0,240453,4
0rohJsT6NWsThpukt0Xxdc,Higher Ground (feat. John Martin),Martin Garrix,0.0841,0.442,0.619,0.382,0.0,0.0321,128.318,-5.28,1,1,206279,4
2bP1dyodgBEN94xWvjk7lb,What U See Is What U Get,Sevendust,0.139,0.698,0.706,0.5,0.0,0.281,93.14,-5.824,1,1,312467,4
1U7EBRLckOTjEpzL8dHq4l,Beautiful Brother of Mine,Curtis Mayfield,0.097,0.548,0.821,0.508,2.17e-05,0.0687,124.143,-6.171,0,6,447200,4
6vKSrqeuPqnlsqDbBj6F3n,Sir Duke,Stevie Wonder,0.157,0.583,0.546,0.952,0.0,0.0742,106.65,-10.885,1,6,232093,4
2VSbEXqs6NbNiZSTcHlIDR,My Sacrifice,Creed,0.000101,0.32,0.88,0.257,4.31e-06,0.0504,146.349,-6.035,1,2,294600,4
2404gurp1BrKCglxjiOWAR,So Far To Go,Common,0.0038,0.86,0.494,0.577,0.000323,0.0774,90.295,-5.701,0,5,267627,4
5v3r5BBXflOj5vedGJb1v8,Bigger Than The Song,Brittney Spencer,0.479,0.507,0.629,0.337,0.0,0.0579,129.616,-4.402,0,0,189156,4
2y57H6nA3vic5t8awwaS69,Dark Light,Night Lovell,0.0746,0.624,0.449,0.0366,0.000228,0.0308,93.002,-9.987,1,9,206472,3
0WKYRFtH6KKbaNWjsxqm70,Gin And Juice (feat. Dat Nigga Daz),Snoop Dogg,0.0285,0.549,0.853,0.346,0.000296,0.188,94.695,-4.293,1,7,211493,4
19LO1iGPxZaL89gO3tNMq2,Gangsta's Paradise,Dangerous Minds Music from the Motion Picture,0.0586,0.647,0.523,0.356,0.0,0.0551,79.951,-9.986,1,8,240771,4
7uJvH1U5rhQBEwJILAyA3D,Write This Down (feat. Nieve),SoulChef,0.173,0.823,0.818,0.844,0.0136,0.18,92.973,-4.396,0,10,189427,4
7AjfklMN4WpQYz5FkT4E66,Lady,D'Angelo,0.14,0.815,0.365,0.721,0.0258,0.0875,84.9,-11.835,0,8,346267,4
4mPv2pjOJFY6pmw9caIePJ,Greater Purpose,Marcus D,0.224,0.736,0.867,0.753,9.6e-06,0.0734,95.006,-5.812,0,0,253472,4
4BYGxv4rxSNcTgT3DsFB9o,Purple Haze,Jimi Hendrix,0.00627,0.529,0.898,0.434,0.728,0.0786,108.599,-5.249,1,2,171427,4
2kpR8nFLWHsc7teXyInSB9,Still Think Different,Bop Alloy,0.35,0.741,0.755,0.593,0.00718,0.113,90.978,-8.144,1,0,265787,4
47A3tkE1MzHBltP6RzKCzW,It's Everyday,Keevin,0.0667,0.606,0.672,0.724,0.0,0.034,90.004,-9.804,1,9,186296,4
1rFCvKfD7szM7oUp6Et82B,LOCKJAW!,SXMPRA,0.129,0.75,0.845,0.569,0.000233,0.273,170.133,-2.373,0,10,134118,4
2fw39xbq6pDrtzQB4M1MhV,Avoid Things,Tems,0.44,0.774,0.709,0.954,0.0315,0.0792,162.839,-9.52,0,4,224172,4
6T2P53rz2ohl86JO0qf3BR,BCK,OmenXIII,0.0591,0.569,0.472,0.0363,0.00402,0.0546,91.952,-11.12,0,10,99239,4
12DNxMLgOdNTjChoV9ynNY,"SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith)",Big Scarr,0.0883,0.955,0.646,0.691,0.0,0.26,125.132,-5.924,0,11,190037,4
1gGcKk7W1priUoTwotuoqT,Microphone Fiend,Rage Against The Machine,0.0073,0.481,0.879,0.533,1.72e-05,0.268,89.436,-5.178,0,11,301533,4
2hFa7JcuDmE0HF6C01leLE,Thank You All the Same,Funky DL,0.28,0.733,0.683,0.511,0.000741,0.223,92.132,-7.496,1,7,153517,4
7LJz6DZS1tIRB06bbYbAPi,...& On,Erykah Badu,0.411,0.779,0.343,0.724,0.000158,0.071,83.417,-12.13,1,1,214133,4
59wlTaYOL5tDUgXnbBQ3my,A Moment Apart,ODESZA,0.172,0.406,0.665,0.0758,0.693,0.0352,119.988,-7.903,0,7,234244,4
0wuLm98dMgCHF6g5SpKY71,Jealous Again,The Black Crowes,0.0944,0.639,0.844,0.665,0.0,0.0263,114.412,-4.623,1,7,275067,4
5bCs8A6eqrjsfQ8DfhytYU,Night on the Town,Marcus D,0.0855,0.576,0.793,0.421,0.00187,0.179,86.948,-6.504,1,7,281693,4
7BgUcOjSOlKJXASLgJ6bx1,Bag Lady,Erykah Badu,0.363,0.724,0.416,0.582,0.0,0.0847,151.181,-8.967,0,5,348893,4
6Qd2OmDq4rPFQi7qCHapTx,LooseScrew,BONES,0.317,0.379,0.43,0.0586,0.0725,0.0509,99.93,-11.445,1,1,174375,4
4EXm5bip7QMDfDDt424Rqt,Big Bird,Rosetta Hightower,0.0557,0.414,0.899,0.529,0.000231,0.0782,105.786,-4.174,0,5,191133,4
