id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
6btke96zwYQHwsoMGNeQM9,毒の王子さま,猫又おかゆ,0.00287,0.631,0.857,0.867,0.000694,0.0359,115.043,-3.768,0,7,215492,4
13Snz1MthSGTD8579hP3N5,オーバード,鷹嶺ルイ,0.0322,0.677,0.807,0.644,1.06e-06,0.0802,129.988,-6.484,1,8,200615,4
7iYXPZHG3LnMWPmiwoGn4f,If You Could See Me Now,Bill Evans Trio,0.92,0.519,0.148,0.079,0.775,0.0348,61.94,-19.037,0,10,268507,4
0jyXW8hxeIzX4QwznqVT0E,Maiden Voyage / Everything In Its Right Place,Robert Glasper,0.913,0.417,0.374,0.105,0.94,0.0486,141.187,-17.408,0,5,523613,4
2Y27T6eJuQgu32Hvr8Y4k9,百倍返し,吉乃,0.144,0.737,0.918,0.635,2.51e-06,0.049,110.013,-4.133,1,1,174053,4
5UxdxCXlUuoqZQCbfFLYEU,Be My Love,Kenny Drew Trio,0.721,0.387,0.602,0.698,0.000944,0.0289,137.476,-10.751,0,2,164013,4
5uBpbSDljWMFtKxMYHsmpY,Avec le temps,Giovanni Guidi,0.965,0.242,0.0736,0.0728,0.825,0.0348,81.354,-25.265,1,0,393373,4
3Gwd7u3e0QrOItpaI5Bddd,"Pasquier - BOF ""Des Femmes Disparaissent""",Art Blakey,0.996,0.66,0.0215,0.192,0.97,0.064,68.842,-25.76,0,2,60160,4
6TkQrtwNlr9BhsovTflSir,Together,DJ Harrison,0.383,0.364,0.695,0.488,0.0085,0.0458,83.12,-6.645,1,11,162751,4
5oq7NF2AjuMbfDMWdmFSbE,Romain,Bill Evans,0.995,0.4,0.0428,0.151,0.948,0.0479,90.708,-24.341,0,0,323733,4
0bDlhKzFeybyiwcDYnrGe0,"Alice In Wonderland - Take 2 / Live At The Village Vanguard, NYC; 6/25/1961",Bill Evans Trio,0.852,0.434,0.297,0.364,0.861,0.0347,82.867,-18.316,1,0,514533,4
0gZ6cHftLlQLb1MW946DTm,Lu's Bounce,Dan Nimmer Trio,0.609,0.408,0.656,0.637,0.82,0.0383,122.714,-8.249,0,9,396000,4
5IuPSYyNHgrX1f866kAqra,Jazzmatic (feat. Steph the Sapphic Songstress),Bop Alloy,0.43,0.639,0.656,0.826,0.0,0.17,97.887,-6.075,1,8,176640,4
2SlAh8uUAxJZdwqwoB7Atu,エウレカ,柊キライ,0.022,0.679,0.663,0.631,0.443,0.166,140.149,-7.869,1,1,167607,4
4vMetJmQshUxrBB1mowevn,Swingin' For Mezz,Mezz Mezzrow,0.954,0.574,0.307,0.926,0.937,0.181,195.814,-10.461,1,5,190746,4
1IZVTeGEOPzb3vazDsMiL7,Herbie's Blues,Herb Hall,0.953,0.681,0.0681,0.462,0.887,0.0426,85.413,-20.602,1,7,284954,4
2qXWP1VcL8XI4xcVMpbrj0,I Get A Kick Out Of You,Jamie Cullum,0.473,0.554,0.5,0.514,0.0,0.0354,116.933,-8.277,1,8,250280,4
