id,track_name,artist_name,acousticness,danceability,energy,valence,instrumentalness,speechiness,tempo,loudness,mode,key,duration_ms,time_signature
5bGNsC7FTQ3WZzz0XYOmvZ,Houdini - Adam Port Mix,Dua Lipa,0.000899,0.648,0.766,0.562,0.24,0.0336,118.974,-10.181,0,2,202000,4
6Bm6qUCSatPAqkQllFL7oA,Unwell,Matchbox Twenty,0.0298,0.256,0.788,0.429,0.0,0.0403,80.718,-5.263,0,6,228707,4
4jU7NPkz4HVnM4hweqNhI1,Blue Orchid,The White Stripes,0.0863,0.481,0.645,0.612,6.2e-06,0.318,151.307,-8.535,0,10,157560,4
37Tmv4NnfQeb0ZgUC4fOJj,Sultans Of Swing,Dire Straits,0.0614,0.733,0.794,0.931,0.0367,0.0307,148.174,-10.023,1,5,348624,4
2Rhh3ZhukJfTKoBVzIYTaf,Murder On The Dancefloor - PNAU Remix,Sophie Ellis-Bextor,0.0924,0.696,0.827,0.787,0.0,0.139,116.0,-4.628,1,4,260006,4
0AxhXARnISmbH5UqbqvtDP,My Head & My Heart - Claptone Remix,Ava Max,0.0585,0.667,0.842,0.661,2.81e-06,0.0457,121.992,-4.507,0,9,182451,4
5tDUVSIv2wEdOkHCOKHKeI,So Far Away,Dire Straits,0.247,0.718,0.513,0.618,0.169,0.0277,114.324,-9.664,1,4,240000,4
4Vb8fzZfCOI351qz1g0ExT,Teacher Teacher,Rockpile,0.313,0.578,0.777,0.92,2.61e-05,0.0428,148.703,-9.268,1,0,154227,4
78UsKE8OSa1KJEKtvlLMea,Castle on the Hill,Brooklyn Duo,0.826,0.416,0.519,0.249,0.912,0.034,131.855,-8.632,1,2,266124,4
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,0.00721,0.331,0.943,0.296,2.06e-06,0.0698,94.612,-3.188,0,4,235893,4
2yPoXCs7BSIUrucMdK5PzV,Umbrella,Rihanna,0.00906,0.585,0.828,0.584,0.0,0.124,174.034,-4.603,1,1,275987,4
59zbXPD0j7JxsVVm480g3b,Shivers (Dillon Francis Remix) [Main Mix],Ed Sheeran,0.0646,0.744,0.828,0.579,1.4e-05,0.0289,124.029,-5.911,1,2,127766,4
05lUyYIxudPjbQzmnYoHjb,Far Beyond The Sun,Yngwie Malmsteen,0.00925,0.16,0.756,0.569,0.73,0.0946,83.388,-13.864,0,5,350027,4
4Sib57MmYGJzSvkW84jTwh,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,0.0291,0.614,0.839,0.657,0.0,0.0702,182.123,-4.143,1,0,193040,4
5cvp5GwijJNiS5s1a8145Q,Sucker - Piano Version,Daniele Leoni,0.788,0.566,0.373,0.482,0.891,0.0518,116.583,-17.979,1,4,171188,4
61XspFITuKmAlYdQacNCbF,Bleed American,Jimmy Eat World,0.00842,0.438,0.938,0.584,1.08e-06,0.094,160.212,-5.611,0,6,181493,4
1eGSgC6ZhJ8D4nrZZ83LyA,Mean Street - 2015 Remaster,Van Halen,0.00585,0.481,0.902,0.608,0.000121,0.0681,102.315,-7.43,1,1,300491,4
2gp2MEaiTOvRIWPeCxRL5Z,Little Mascara,The Replacements,0.00607,0.363,0.963,0.282,0.0,0.269,140.984,-9.528,0,11,216800,4
6vZZtivPrtpggT5SSXsYTy,Solsbury Hill,Peter Gabriel,0.355,0.678,0.631,0.463,0.000268,0.0301,102.378,-8.624,1,11,261560,1
7gevvAspxft2qQmcvJjNBH,A Good Night,John Legend,0.104,0.53,0.707,0.696,0.0,0.203,109.827,-5.516,1,10,203453,4
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,0.0462,0.734,0.637,0.648,2.29e-05,0.141,169.977,-5.677,0,4,202333,4
5J1TCBAWhDZ272GLJmxoDY,Eternal Flame,The Bangles,0.649,0.518,0.253,0.381,0.0,0.0245,78.907,-12.573,0,4,238773,3
7zJi6HnUzxo2J4La1yTFj3,Satan Is My Motor,CAKE,0.151,0.681,0.706,0.971,2.35e-05,0.0392,102.38,-8.359,1,9,192067,4
4qO03RMQm88DdpTJcxlglY,Call Me,Blondie,0.000785,0.56,0.824,0.74,0.00246,0.0348,142.667,-6.711,0,2,212600,4
0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,Dexys Midnight Runners,0.648,0.45,0.658,0.781,3.14e-06,0.0472,106.799,-7.064,1,2,287307,4
4IoYz8XqqdowINzfRrFnhi,You Found Me,The Fray,0.0187,0.338,0.803,0.4,0.0,0.0413,151.994,-5.412,0,8,241853,4
5qjych2Ckn8Y1AMfsdgSUg,I Wanna Dance with Somebody (Who Loves Me) - David Solomon Remix,Whitney Houston,0.0146,0.599,0.794,0.234,0.000679,0.0433,124.936,-4.62,1,6,201712,4
2pkGKBnv5SRNgFNDBVZIil,Truth Hurts - Instrumental,INST,0.07,0.776,0.305,0.704,0.913,0.0887,158.04,-11.794,1,7,173924,4
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,0.0586,0.508,0.774,0.942,4.87e-06,0.0321,178.946,-5.973,1,2,141600,4
3bsycjdQtbcJeR6822SBvd,I Like It,Cardi B,0.0981,0.814,0.721,0.643,0.0,0.136,136.05,-4.026,0,5,253390,4
6Qm9MaditCcx5V62rVHYqu,A Thousand Miles,Vanessa Carlton,0.273,0.488,0.832,0.258,0.0,0.0388,94.84,-3.876,1,11,237440,4
2g2a5kDeZexbUTD8abcvm6,Lifestyles of the Rich & Famous,Good Charlotte,0.00043,0.62,0.93,0.609,0.0,0.0374,106.22,-3.685,1,1,190173,4
347mu5DVqh9NUMlUeHMp4H,Can't Get You on My Mind,Adam Schmitt,0.00356,0.598,0.747,0.874,0.0488,0.0358,127.575,-9.019,1,7,207933,4
7fwUb4zqdjakeeyuYEhkI8,In The Street,Big Star,0.00391,0.48,0.721,0.59,0.0457,0.0391,124.901,-9.23,1,0,174733,4
0Afai8u1STCaDyTTm1gEZf,Shake Some Action,Flamin' Groovies,0.0254,0.495,0.632,0.376,0.0332,0.0404,137.105,-12.941,1,8,273307,4
35OJrTV14QOgr86ITSkpPQ,Better Now (Piano Arrangement),The Theorist,0.958,0.302,0.424,0.281,0.855,0.0562,135.836,-16.338,1,10,235000,4
3tCwjWLicbjsMCvXhN0WOE,Rude,MAGIC!,0.0435,0.743,0.807,0.899,0.0,0.0364,144.062,-3.78,1,1,224773,4
2ZQyksYO4zzhyHNcueL0CP,Home,Phillip Phillips,0.0215,0.592,0.792,0.293,0.0,0.0335,121.001,-5.884,1,0,209227,4
0pjBqAz8GlxGlpaU4W0DxS,Cruel Summer - LP Giobbi Remix,Taylor Swift,0.0922,0.73,0.717,0.283,0.00296,0.0554,122.988,-9.095,1,9,192900,4
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,Snow Patrol,0.209,0.563,0.592,0.136,5.08e-05,0.0276,104.016,-4.571,1,9,267933,4
0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,0.739,0.657,0.435,0.771,0.0,0.0552,135.975,-15.707,1,10,181133,4
1fyysXwSGNtMeqMBLwW3SI,Breakeven,The Script,0.144,0.63,0.694,0.49,0.0,0.0242,94.034,-4.501,1,10,261427,4
5NZPwFFa4mCbrY5Kq3S03E,I'm Not the Only One,Juan María Solare,0.995,0.623,0.0629,0.152,0.944,0.068,168.059,-26.81,1,5,237000,4
3Nw2BXHQrhCsChnKd467PT,Tearin' Up My Heart,Piano Tribute Players,0.974,0.439,0.303,0.102,0.945,0.0587,110.005,-17.615,0,9,204267,4
2gR2PCHmIyWyJnJyhiQ8J5,Happy,Matt Harp,0.586,0.663,0.45,0.822,0.834,0.0774,78.93,-13.15,0,5,195283,4
0ZEhlT9v8CdOKu55zhYGv9,Don't Cry (Original),Guns N' Roses,0.00191,0.437,0.572,0.239,0.00243,0.0339,124.172,-8.648,0,8,284800,4
3hADwp0T4eYNXtO2lLWpEh,More Than Words - Piano Instrumental,Attila Fias,0.961,0.537,0.269,0.235,0.877,0.0492,107.538,-15.447,1,7,251476,4
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,Nine Days,0.000891,0.481,0.94,0.66,0.0,0.066,96.493,-5.204,1,7,189333,4
0zjPTyPqrRUsP2BfOsPiPO,Superglue,Raymond Revel,0.0465,0.602,0.742,0.805,0.253,0.0309,162.044,-8.39,1,6,170568,4
0oYYQ2Wb7XXnXHDpahunD6,Writing's On The Wall,Music Lab Collective,0.987,0.512,0.0163,0.0383,0.922,0.0601,119.94,-26.76,1,8,280040,4
7leW1Dmvs9A4oDh9i5Qwpz,These Words,Badger,0.017,0.595,0.989,0.223,0.0,0.0736,129.989,-2.695,1,5,136580,4
2KjUp5M2Y0KnOo1BIto101,The Audience Is Listening,Steve Vai,0.0133,0.432,0.895,0.256,0.000384,0.364,133.166,-8.516,1,9,329973,4
36xZr5VTIBoFSblxHEE4TJ,"Crossroads - Live At Winterland, San Francisco / 1968",Cream,0.389,0.393,0.697,0.851,0.0195,0.0558,131.625,-12.808,1,7,258467,4
1zgV7obuDgU0DEaNCmPw8u,Sunshine - MOTi Remix,OneRepublic,0.0764,0.727,0.77,0.542,5.38e-06,0.0419,125.99,-5.915,1,5,188825,4
3bE5slaVEfaDreqARl6k4M,Yellow Ledbetter,Pearl Jam,0.29,0.504,0.354,0.292,4.71e-06,0.0339,140.87,-11.3,1,4,303587,4
3A6Ty55vQ1NC06EiB1fi9z,No More Heroes - 1996 Remaster,The Stranglers,0.000109,0.293,0.933,0.837,0.145,0.0701,150.994,-8.082,1,0,207440,4
5ftFciYQrVswUy6VsBHzBn,Drive Me Down,Velvet Crush,0.000655,0.0961,0.936,0.574,0.517,0.0555,165.954,-8.079,1,11,235480,4
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,0.188,0.638,0.656,0.225,0.0,0.0357,104.036,-5.886,1,5,262467,4
77Oww6V7jooOd7aNEMnFJ3,"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,0.0514,0.482,0.742,0.561,0.0,0.0269,96.133,-8.108,1,6,251733,4
1tdltVUBkiBCW1C3yB4zyD,Yellow Submarine,The Beatles,0.208,0.616,0.636,0.654,0.0,0.0325,110.618,-7.055,1,1,159160,4
6qUEOWqOzu1rLPUPQ1ECpx,Walk This Way (feat. Aerosmith),Run–D.M.C.,0.0174,0.761,0.711,0.947,0.000101,0.0604,105.448,-7.989,1,9,310387,4
028njLMKzGg4gAVSgMeOhm,Hum Hallelujah,Fall Out Boy,0.00796,0.466,0.958,0.658,0.0,0.0639,183.959,-3.302,1,2,230507,4
5VWmMZCfJ4yVkJw9ZLFXej,"1, 2, 3, 4",Plain White T's,0.566,0.458,0.55,0.56,1.39e-05,0.0262,90.56,-7.092,1,2,198360,4
5OVofGV3opkR1hq0C9RSCu,100 Years,Five For Fighting,0.586,0.636,0.561,0.293,1.51e-05,0.0279,120.471,-7.482,1,7,244667,4
3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,0.0384,0.618,0.748,0.663,4.1e-06,0.358,134.114,-8.905,1,0,191947,4
7re6kGeTBMEEXVRHoqlQf8,Please Please Please - Acoustic Instrumental,Edward Ong,0.953,0.668,0.122,0.549,0.868,0.0331,106.985,-22.61,1,9,127710,4
5PntSbMHC1ud6Vvl8x56qd,Loser,Beck,0.0337,0.654,0.611,0.786,0.000178,0.119,85.387,-10.45,1,2,235000,4
7jY6W92bLfnXnevTa7JKHi,Perfect (Exceeder),David Guetta,0.0524,0.678,0.952,0.0649,0.81,0.0484,127.927,-5.584,0,4,151930,4
0wagV3icLdCE7uP7rjyOfY,m.A.A.d city,Kendrick Lamar,0.063,0.462,0.676,0.162,1.19e-05,0.215,74.637,-7.87,1,2,350120,4
1XPMs9Qm63aOGZ7l0vYgy5,Round Here,Florida Georgia Line,0.00372,0.52,0.953,0.892,1.57e-06,0.0376,141.943,-2.981,1,1,214053,4
2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,0.00835,0.645,0.713,0.566,0.0,0.0393,74.989,-5.355,1,6,214507,4
30YPIax9lMJUbMiATQcaWx,Old Town Road,Ashton Blaak,0.0318,0.793,0.499,0.431,0.756,0.0488,135.927,-9.663,1,5,157941,4
6ubAL81FfYlyEKPdqsrruc,Watermelon Sugar - Piano Version,Phil Larson,0.982,0.387,0.134,0.158,0.894,0.0344,93.469,-19.397,0,9,204690,4
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte,0.00666,0.494,0.939,0.893,0.0,0.126,177.751,-3.127,1,1,175093,4
13bugSzYRn6C8cJCJEXcXk,Marvin Gaye (Instrumental Version),Soft Background Music,0.895,0.714,0.468,0.607,0.8,0.0507,110.053,-7.777,1,4,186665,4
4yshHBPp0MoVynV1sMCKV3,Send Me On My Way,Rusted Root,0.138,0.495,0.774,0.715,1.31e-05,0.0718,119.398,-6.543,1,0,261707,4
6k5DKQMC96daK6fSvAxdQv,Satisfaction,David Guetta,0.0742,0.752,0.935,0.31,0.0352,0.203,126.022,-6.263,1,11,155677,4
0LTZD4vTsp0EN1wXatc9IR,Paranoid Android,Radiohead,0.0342,0.328,0.762,0.274,0.00876,0.0476,125.75,-8.651,1,5,383507,4
15rjQH7nTcTomKwfVMd4xl,Go Your Own Way,Fleetwood Mac,0.0219,0.597,0.812,0.823,0.00106,0.0315,135.68,-12.062,1,5,218400,4
4GpMYU4CjxVcZAo6mYKaKB,Brighton Rock - Remastered 2011,Queen,0.355,0.354,0.843,0.348,0.0126,0.378,137.62,-9.17,0,11,310013,4
2xcrseImDFEf8Urommws03,New Sensation,INXS,0.00723,0.682,0.954,0.928,4e-05,0.0625,115.475,-4.951,1,9,220160,4
2Iib2MV3ECFJAourgP9dlY,La Isla Bonita,Madonna,0.392,0.708,0.832,0.968,1.34e-06,0.0363,99.951,-4.736,0,1,242947,4
3HjSAJY3gpvjxWrelVSvtn,Gravity - Instrumental Version,Lance Allen,0.93,0.603,0.183,0.256,0.51,0.0317,116.065,-14.063,1,7,263793,3
3yZsBXwiQkqLjnWYip17Uu,Doses & Mimosas (Vintage Culture & Zerky Remix) - Radio Edit,Vintage Culture,0.00245,0.782,0.728,0.602,7.9e-05,0.146,122.035,-6.568,1,5,229586,4
54b8qPFqYqIndfdxiLApea,Alone,Heart,0.638,0.418,0.452,0.168,0.000252,0.0355,175.124,-13.099,1,1,218733,4
7EZC6E7UjZe63f1jRmkWxt,Zombie,The Cranberries,0.0158,0.309,0.649,0.312,0.00591,0.035,166.915,-8.994,1,7,306440,4
1lkQ2Z5c3NO8MUMKtOwRuc,Is This Love - Instrumental,Guitar Tribute Players,0.938,0.768,0.198,0.124,0.933,0.0634,122.682,-14.864,0,6,199813,4
4CqI1xr7s3qHTR2Thbx7u6,Here Comes The Sun,Piano Tribute Players,0.986,0.616,0.359,0.446,0.896,0.0455,128.992,-15.85,1,9,199787,4
3U2aF159Zbr0B02tA4LlsI,Statesboro Blues,Allman Brothers Band,0.137,0.467,0.669,0.673,0.00933,0.0559,126.917,-9.399,1,2,284480,4
1L94M3KIu7QluZe63g64rv,Alive,Pearl Jam,0.00752,0.284,0.875,0.595,0.000461,0.0422,75.009,-6.069,0,11,340907,4
4sJOuZGBuoNhtocxAO9IkC,Breaking All Illusions,Dream Theater,0.0111,0.297,0.852,0.342,0.0696,0.0505,149.989,-7.265,0,2,745547,4
